World Rank,National Rank,Score
1,1,100.0
2,2,96.7
3,3,95.1
4,1,94.1
5,2,93.3
6,4,92.6
7,5,92.0
8,6,91.5
9,7,91.1
10,8,90.7
11,9,90.4
12,10,90.1
13,1,89.8
14,11,89.5
15,12,89.2
16,13,89.0
17,14,88.8
18,15,88.6
19,3,88.4
20,16,88.2
21,1,88.0
22,17,87.8
23,18,87.6
24,1,87.5
25,19,87.3
26,20,87.2
27,2,87.0
28,2,86.9
29,1,86.8
30,4,86.6
31,1,86.5
32,2,86.4
33,21,86.3
34,22,86.1
35,1,86.0
36,3,85.9
37,1,85.8
38,23,85.7
39,24,85.6
40,25,85.5
41,4,85.4
42,5,85.3
43,5,85.2
44,1,85.1
45,6,85.0
46,26,85.0
47,27,84.9
48,3,84.8
49,28,84.7
50,29,84.6
51,30,84.5
52,31,84.5
53,32,84.4
54,33,84.3
55,2,84.2
56,34,84.2
57,7,84.1
58,1,84.0
59,2,84.0
60,3,83.9
61,35,83.8
62,36,83.8
63,1,83.7
64,1,83.6
65,2,83.6
66,37,83.5
67,2,83.4
68,38,83.4
69,39,83.3
70,4,83.3
71,1,83.2
72,40,83.1
73,3,83.1
74,41,83.0
75,42,83.0
76,43,82.9
77,1,82.9
78,3,82.8
79,8,82.8
80,5,82.7
81,4,82.6
82,44,82.6
83,45,82.5
84,2,82.5
85,46,82.4
86,47,82.4
87,3,82.3
88,2,82.3
89,1,82.2
90,1,82.2
91,9,82.2
92,6,82.1
93,48,82.1
94,49,82.0
95,50,82.0
96,4,81.9
97,4,81.9
98,2,81.8
99,3,81.8
100,4,81.8
101,10,81.7
102,4,81.7
103,5,81.6
104,5,81.6
105,1,81.5
106,51,81.5
107,2,81.5
108,7,81.4
109,3,81.4
110,5,81.3
111,52,81.3
112,53,81.3
113,1,81.2
114,4,81.2
115,6,81.1
116,1,81.1
117,11,81.1
118,1,81.0
119,6,81.0
120,5,81.0
121,2,80.9
122,8,80.9
123,9,80.9
124,54,80.8
125,5,80.8
126,12,80.7
127,55,80.7
128,6,80.7
129,56,80.6
130,5,80.6
131,1,80.6
132,6,80.5
133,10,80.5
134,57,80.5
135,13,80.4
136,2,80.4
137,14,80.4
138,7,80.3
139,7,80.3
140,3,80.3
141,4,80.3
142,6,80.2
143,6,80.2
144,5,80.2
145,58,80.1
146,59,80.1
147,60,80.1
148,8,80.0
149,61,80.0
150,15,80.0
151,7,79.9
152,3,79.9
153,8,79.9
154,16,79.9
155,7,79.8
156,7,79.8
157,9,79.8
158,62,79.7
159,17,79.7
160,9,79.7
161,4,79.7
162,10,79.6
163,2,79.6
164,6,79.6
165,2,79.5
166,11,79.5
167,63,79.5
168,10,79.5
169,3,79.4
170,64,79.4
171,11,79.4
172,65,79.4
173,6,79.3
174,18,79.3
175,11,79.3
176,3,79.2
177,4,79.2
178,19,79.2
179,66,79.2
180,8,79.1
181,67,79.1
182,2,79.1
183,7,79.1
184,12,79.0
185,68,79.0
186,2,79.0
187,12,79.0
188,8,78.9
189,7,78.9
190,8,78.9
191,69,78.9
192,4,78.8
193,13,78.8
194,1,78.8
195,70,78.8
196,3,78.8
197,3,78.7
198,71,78.7
199,72,78.7
200,9,78.7
201,1,78.6
202,10,78.6
203,14,78.6
204,73,78.6
205,13,78.5
206,14,78.5
207,1,78.5
208,15,78.5
209,74,78.5
210,16,78.4
211,17,78.4
212,75,78.4
213,8,78.4
214,76,78.3
215,15,78.3
216,18,78.3
217,77,78.3
218,1,78.3
219,4,78.2
220,9,78.2
221,12,78.2
222,16,78.2
223,5,78.2
224,10,78.1
225,17,78.1
226,78,78.1
